,initial_rank,rounding_rank,mode_size,kernels,time,Потоки,kappa,retry
0,25,30,10,10,0.5816142559051514,1,1,6
1,25,30,10,10,0.3594338893890381,2,1,6
2,25,30,10,10,0.580333948135376,1,1,7
3,25,30,10,10,0.35695934295654297,2,1,7
4,25,30,10,10,0.6054873466491699,1,1,8
5,25,30,10,10,0.3745543956756592,2,1,8
6,25,30,10,10,0.6043782234191895,1,1,9
7,25,30,10,10,0.3808610439300537,2,1,9
8,25,30,10,10,0.6025786399841309,1,1,10
9,25,30,10,10,0.3751065731048584,2,1,10
10,25,30,10,10,0.6219644546508789,1,1,11
11,25,30,10,10,0.39357519149780273,2,1,11
12,25,30,10,10,0.6047360897064209,1,1,12
13,25,30,10,10,0.3732755184173584,2,1,12
14,25,30,10,10,0.6111435890197754,1,1,13
15,25,30,10,10,0.37740230560302734,2,1,13
16,25,30,10,10,0.6185173988342285,1,1,14
17,25,30,10,10,0.3840060234069824,2,1,14
18,25,40,10,10,0.9734618663787842,1,1,6
19,25,40,10,10,0.6265506744384766,2,1,6
20,25,40,10,10,0.9685933589935303,1,1,7
21,25,40,10,10,0.6226806640625,2,1,7
22,25,40,10,10,0.9706573486328125,1,1,8
23,25,40,10,10,0.6224057674407959,2,1,8
24,25,40,10,10,0.9905440807342529,1,1,9
25,25,40,10,10,0.6348056793212891,2,1,9
26,25,40,10,10,0.9610731601715088,1,1,10
27,25,40,10,10,0.620025634765625,2,1,10
28,25,40,10,10,0.982830286026001,1,1,11
29,25,40,10,10,0.6315121650695801,2,1,11
30,25,40,10,10,1.0037081241607666,1,1,12
31,25,40,10,10,0.6481997966766357,2,1,12
32,25,40,10,10,0.9787106513977051,1,1,13
33,25,40,10,10,0.6293213367462158,2,1,13
34,25,40,10,10,0.9882526397705078,1,1,14
35,25,40,10,10,0.6339411735534668,2,1,14
36,25,50,10,10,1.257554531097412,1,1,6
37,25,50,10,10,0.798638105392456,2,1,6
38,25,50,10,10,1.2658350467681885,1,1,7
39,25,50,10,10,0.8094592094421387,2,1,7
40,25,50,10,10,1.3271901607513428,1,1,8
41,25,50,10,10,0.8401706218719482,2,1,8
42,25,50,10,10,1.292083978652954,1,1,9
43,25,50,10,10,0.8155746459960938,2,1,9
44,25,50,10,10,1.2899503707885742,1,1,10
45,25,50,10,10,0.8158743381500244,2,1,10
46,25,50,10,10,1.304215431213379,1,1,11
47,25,50,10,10,0.8284592628479004,2,1,11
48,25,50,10,10,1.2921369075775146,1,1,12
49,25,50,10,10,0.8263468742370605,2,1,12
50,25,50,10,10,1.2849602699279785,1,1,13
51,25,50,10,10,0.8118255138397217,2,1,13
52,25,50,10,10,1.335176706314087,1,1,14
53,25,50,10,10,0.8508999347686768,2,1,14
54,25,60,10,10,1.7325215339660645,1,1,6
55,25,60,10,10,1.1038565635681152,2,1,6
56,25,60,10,10,1.7633752822875977,1,1,7
57,25,60,10,10,1.1220362186431885,2,1,7
58,25,60,10,10,1.748830795288086,1,1,8
59,25,60,10,10,1.12154221534729,2,1,8
60,25,60,10,10,1.7811429500579834,1,1,9
61,25,60,10,10,1.1583116054534912,2,1,9
62,25,60,10,10,1.7336132526397705,1,1,10
63,25,60,10,10,1.1085975170135498,2,1,10
64,25,60,10,10,1.7180287837982178,1,1,11
65,25,60,10,10,1.097562551498413,2,1,11
66,25,60,10,10,1.7080347537994385,1,1,12
67,25,60,10,10,1.0906059741973877,2,1,12
68,25,60,10,10,1.7154345512390137,1,1,13
69,25,60,10,10,1.0997934341430664,2,1,13
70,25,60,10,10,1.7393014430999756,1,1,14
71,25,60,10,10,1.1073343753814697,2,1,14
72,25,80,10,10,3.01190447807312,1,1,6
73,25,80,10,10,1.8731412887573242,2,1,6
74,25,80,10,10,2.818397045135498,1,1,7
75,25,80,10,10,1.8258440494537354,2,1,7
76,25,80,10,10,2.7460532188415527,1,1,8
77,25,80,10,10,1.7358906269073486,2,1,8
78,25,80,10,10,2.732184886932373,1,1,9
79,25,80,10,10,1.7110707759857178,2,1,9
80,25,80,10,10,2.7546181678771973,1,1,10
81,25,80,10,10,1.7422027587890625,2,1,10
82,25,80,10,10,2.7377359867095947,1,1,11
83,25,80,10,10,1.7273411750793457,2,1,11
84,25,80,10,10,2.8093841075897217,1,1,12
85,25,80,10,10,1.758603572845459,2,1,12
86,25,80,10,10,2.85444712638855,1,1,13
87,25,80,10,10,1.8050403594970703,2,1,13
88,25,80,10,10,2.8699800968170166,1,1,14
89,25,80,10,10,1.8209686279296875,2,1,14
90,25,100,10,10,3.849842071533203,1,1,6
91,25,100,10,10,2.4053306579589844,2,1,6
92,25,100,10,10,3.840514898300171,1,1,7
93,25,100,10,10,2.4025466442108154,2,1,7
94,25,100,10,10,3.813894271850586,1,1,8
95,25,100,10,10,2.3888332843780518,2,1,8
96,25,100,10,10,4.323848247528076,1,1,9
97,25,100,10,10,2.647700071334839,2,1,9
98,25,100,10,10,4.415742874145508,1,1,10
99,25,100,10,10,2.8754780292510986,2,1,10
100,25,100,10,10,6.175421714782715,1,1,11
101,25,100,10,10,3.6360483169555664,2,1,11
102,25,100,10,10,5.043894290924072,1,1,12
103,25,100,10,10,3.1409096717834473,2,1,12
104,25,100,10,10,4.815949440002441,1,1,13
105,25,100,10,10,3.09308123588562,2,1,13
106,25,100,10,10,4.679151773452759,1,1,14
107,25,100,10,10,2.9379098415374756,2,1,14
108,25,120,10,10,6.580438137054443,1,1,6
109,25,120,10,10,4.118574619293213,2,1,6
110,25,120,10,10,5.904382228851318,1,1,7
111,25,120,10,10,3.7008533477783203,2,1,7
112,25,120,10,10,6.070597410202026,1,1,8
113,25,120,10,10,3.6862969398498535,2,1,8
114,25,120,10,10,5.8706231117248535,1,1,9
115,25,120,10,10,3.649819850921631,2,1,9
116,25,120,10,10,5.807589292526245,1,1,10
117,25,120,10,10,3.6069552898406982,2,1,10
118,25,120,10,10,5.649344444274902,1,1,11
119,25,120,10,10,3.5253896713256836,2,1,11
120,25,120,10,10,6.07136607170105,1,1,12
121,25,120,10,10,3.747338056564331,2,1,12
122,25,120,10,10,6.2210774421691895,1,1,13
123,25,120,10,10,3.8501648902893066,2,1,13
124,25,120,10,10,6.269968509674072,1,1,14
125,25,120,10,10,3.9424853324890137,2,1,14
126,25,140,10,10,8.396032094955444,1,1,6
127,25,140,10,10,5.228107929229736,2,1,6
128,25,140,10,10,8.221629619598389,1,1,7
129,25,140,10,10,5.0676562786102295,2,1,7
130,25,140,10,10,8.025520086288452,1,1,8
131,25,140,10,10,5.01936674118042,2,1,8
132,25,140,10,10,8.01875638961792,1,1,9
133,25,140,10,10,5.036877393722534,2,1,9
134,25,140,10,10,8.190862655639648,1,1,10
135,25,140,10,10,5.092211008071899,2,1,10
136,25,140,10,10,7.19672155380249,1,1,11
137,25,140,10,10,4.474559783935547,2,1,11
138,25,140,10,10,6.512653827667236,1,1,12
139,25,140,10,10,3.95268177986145,2,1,12
140,25,140,10,10,6.357269048690796,1,1,13
141,25,140,10,10,3.968916177749634,2,1,13
142,25,140,10,10,6.274272203445435,1,1,14
143,25,140,10,10,3.9268486499786377,2,1,14
144,25,180,10,10,8.676624059677124,1,1,6
145,25,180,10,10,5.32401180267334,2,1,6
146,25,180,10,10,8.282365560531616,1,1,7
147,25,180,10,10,5.09152889251709,2,1,7
148,25,180,10,10,9.174132823944092,1,1,8
149,25,180,10,10,5.636565923690796,2,1,8
150,25,180,10,10,9.65650749206543,1,1,9
151,25,180,10,10,5.832067012786865,2,1,9
152,25,180,10,10,8.966577768325806,1,1,10
153,25,180,10,10,5.459372282028198,2,1,10
154,25,180,10,10,8.486795902252197,1,1,11
155,25,180,10,10,5.247469425201416,2,1,11
156,25,180,10,10,8.929676055908203,1,1,12
157,25,180,10,10,5.336381912231445,2,1,12
158,25,180,10,10,9.539480924606323,1,1,13
159,25,180,10,10,5.734311103820801,2,1,13
160,25,180,10,10,9.176544904708862,1,1,14
161,25,180,10,10,5.642055034637451,2,1,14
162,25,220,10,10,12.445680141448975,1,1,6
163,25,220,10,10,7.431057691574097,2,1,6
164,25,220,10,10,12.54167628288269,1,1,7
165,25,220,10,10,7.554434061050415,2,1,7
166,25,220,10,10,12.822558403015137,1,1,8
167,25,220,10,10,7.959328889846802,2,1,8
168,25,220,10,10,12.73346734046936,1,1,9
169,25,220,10,10,7.831880331039429,2,1,9
170,25,220,10,10,13.002798318862915,1,1,10
171,25,220,10,10,7.530631065368652,2,1,10
172,25,220,10,10,12.856008529663086,1,1,11
173,25,220,10,10,7.553317546844482,2,1,11
174,25,220,10,10,12.359782218933105,1,1,12
175,25,220,10,10,7.303395748138428,2,1,12
176,25,220,10,10,12.927882432937622,1,1,13
177,25,220,10,10,7.724469900131226,2,1,13
178,25,220,10,10,12.791898727416992,1,1,14
179,25,220,10,10,7.496605396270752,2,1,14
180,25,260,10,10,17.57633686065674,1,1,6
181,25,260,10,10,10.277066469192505,2,1,6
182,25,260,10,10,17.441757678985596,1,1,7
183,25,260,10,10,10.295623540878296,2,1,7
184,25,260,10,10,17.978127479553223,1,1,8
185,25,260,10,10,10.560173988342285,2,1,8
186,25,260,10,10,18.22939133644104,1,1,9
187,25,260,10,10,10.668691396713257,2,1,9
188,25,260,10,10,18.447786331176758,1,1,10
189,25,260,10,10,10.6092689037323,2,1,10
190,25,260,10,10,16.591127395629883,1,1,11
191,25,260,10,10,9.827138662338257,2,1,11
192,25,260,10,10,17.16805100440979,1,1,12
193,25,260,10,10,10.175492286682129,2,1,12
194,25,260,10,10,17.47526788711548,1,1,13
195,25,260,10,10,10.170208215713501,2,1,13
196,25,260,10,10,17.190224170684814,1,1,14
197,25,260,10,10,10.11198377609253,2,1,14
