,precision,rounding_rank,oversampling
0,2.523350571571782e-10,40,0
1,1.965769961690531e-10,40,1
2,6.171813409516344e-11,40,2
3,4.5009328316978145e-11,40,3
4,2.2528855203758896e-11,40,5
5,1.4491961956062953e-11,40,7
6,2.0607918285175634e-10,40,0
7,1.4219200009440612e-10,40,1
8,8.753696406964404e-11,40,2
9,3.320612323019735e-11,40,3
10,2.0243548659552228e-11,40,5
11,1.075206336813563e-11,40,7
12,1.406546541231357e-10,40,0
13,1.8409466864817965e-10,40,1
14,1.3755565635173988e-10,40,2
15,4.9724515311320454e-11,40,3
16,5.068082793780497e-11,40,5
17,1.1968887109782819e-11,40,7
18,2.2807442363784822e-10,40,0
19,1.3063597747142951e-10,40,1
20,7.881686893837502e-11,40,2
21,9.860436616700884e-11,40,3
22,2.5830552988735915e-11,40,5
23,1.3478002915312524e-11,40,7
24,3.970184758828119e-10,40,0
25,1.4911976503547735e-10,40,1
26,6.483784445145207e-11,40,2
27,6.100593927141991e-11,40,3
28,1.825619884392227e-11,40,5
29,1.346726144222235e-11,40,7
30,1.7544565695610628e-11,45,0
31,9.605875553943886e-12,45,1
32,8.25344591271211e-12,45,2
33,9.743406158197213e-12,45,3
34,1.4410143954073222e-12,45,5
35,1.8676540717044417e-12,45,7
36,4.5099651100100244e-11,45,0
37,1.9296292392864623e-11,45,1
38,1.664311678293946e-11,45,2
39,5.880038745130441e-12,45,3
40,3.052764950702618e-12,45,5
41,1.3128009374913778e-12,45,7
42,3.54497822462418e-11,45,0
43,1.3600190271819803e-11,45,1
44,7.994913137888886e-12,45,2
45,9.646410887355201e-12,45,3
46,2.3207684747705038e-12,45,5
47,1.6450508580226315e-12,45,7
48,2.3516764002591107e-11,45,0
49,1.001883737054373e-11,45,1
50,3.864916139760867e-12,45,2
51,5.165793203656133e-12,45,3
52,4.391702528735051e-12,45,5
53,1.2323680484931243e-12,45,7
54,1.2746528281252315e-11,45,0
55,1.0191792492466764e-11,45,1
56,2.12913873933269e-11,45,2
57,8.127604319356127e-12,45,3
58,2.6014611898065103e-12,45,5
59,1.7366564686249337e-12,45,7
60,4.422366647790024e-12,50,0
61,2.711980662109984e-12,50,1
62,9.420881816169487e-13,50,2
63,9.10809675998152e-13,50,3
64,5.039211379324482e-13,50,5
65,7.75647036376012e-13,50,7
66,3.4341841338800127e-12,50,0
67,1.151275792660768e-12,50,1
68,1.3232447375403576e-12,50,2
69,7.147182771765171e-13,50,3
70,4.101297132594271e-13,50,5
71,5.518018132072964e-13,50,7
72,3.2361787344065413e-12,50,0
73,4.45782132092622e-12,50,1
74,1.7347667499668506e-12,50,2
75,1.1332088588506344e-12,50,3
76,1.3701618694594824e-12,50,5
77,2.449186788406135e-13,50,7
78,3.684105479976453e-12,50,0
79,2.9388838905973672e-12,50,1
80,1.968664601291062e-12,50,2
81,1.3099271100521876e-12,50,3
82,1.1555089969791435e-12,50,5
83,2.665339820287318e-13,50,7
84,3.968694122521147e-12,50,0
85,1.4578575597280172e-12,50,1
86,1.7705582255013594e-12,50,2
87,9.528847887333774e-13,50,3
88,8.388590814500931e-13,50,5
89,6.743091498894113e-13,50,7
90,5.108216772889131e-13,55,0
91,3.852203358998948e-13,55,1
92,3.091227383369709e-13,55,2
93,1.5627789888408707e-13,55,3
94,1.6388474576409537e-13,55,5
95,7.103997571579149e-14,55,7
96,4.894123102666979e-13,55,0
97,4.8855976228032e-13,55,1
98,7.676772355106026e-13,55,2
99,2.3758983314392054e-13,55,3
100,2.374712154473433e-13,55,5
101,8.356109568183362e-14,55,7
102,5.429595348815277e-13,55,0
103,5.638176446577408e-13,55,1
104,6.436968923339995e-13,55,2
105,2.8215059428087537e-13,55,3
106,1.5760893096852465e-13,55,5
107,9.350122634603012e-14,55,7
108,4.858659990775819e-13,55,0
109,4.600372244145018e-13,55,1
110,2.7500612653794034e-13,55,2
111,4.849727668380509e-13,55,3
112,1.8403928345551898e-13,55,5
113,1.3429275849695574e-13,55,7
114,6.162134053727743e-13,55,0
115,3.2897754352741756e-13,55,1
116,2.7101815031242253e-13,55,2
117,2.1705423794200694e-13,55,3
118,2.180549566881434e-13,55,5
119,1.3357563250835113e-13,55,7
120,2.9769330324885405e-13,60,0
121,1.138974336412469e-13,60,1
122,1.311037552181148e-13,60,2
123,6.707158829276585e-14,60,3
124,6.579350026850455e-14,60,5
125,7.365414380783377e-14,60,7
126,1.228249354025964e-13,60,0
127,1.6505550500419157e-13,60,1
128,1.0145739467472545e-13,60,2
129,9.707687365725584e-14,60,3
130,6.736589965270817e-14,60,5
131,6.641688493615833e-14,60,7
132,1.22939291358429e-13,60,0
133,1.409114300951504e-13,60,1
134,7.981202604358895e-14,60,2
135,6.04232760698903e-14,60,3
136,6.731676453226472e-14,60,5
137,4.676263594939583e-14,60,7
138,2.7641230023041705e-13,60,0
139,8.92983981530848e-14,60,1
140,1.999269473572218e-13,60,2
141,7.257494904768946e-14,60,3
142,8.356320252905742e-14,60,5
143,4.107736201205287e-14,60,7
144,2.341138258431979e-13,60,0
145,1.2747001140271616e-13,60,1
146,1.1403681959735063e-13,60,2
147,1.3203052155969173e-13,60,3
148,4.402716517605687e-14,60,5
149,4.6605873219264616e-14,60,7
150,6.66347986428802e-14,65,0
151,5.42496784997819e-14,65,1
152,5.478782215401577e-14,65,2
153,8.092300991420105e-14,65,3
154,7.683644458993023e-14,65,5
155,2.5230310890554695e-14,65,7
156,4.112157584604014e-14,65,0
157,6.920888534509101e-14,65,1
158,8.920336074772227e-14,65,2
159,5.507701587807615e-14,65,3
160,9.781311041300689e-14,65,5
161,3.65386221947691e-14,65,7
162,7.530119891959303e-14,65,0
163,4.1828003549648406e-14,65,1
164,7.639078092008721e-14,65,2
165,3.12360238554692e-14,65,3
166,3.560900114344575e-14,65,5
167,6.968481707728351e-14,65,7
168,4.5460206149298253e-14,65,0
169,6.149956130180738e-14,65,1
170,8.689854006183783e-14,65,2
171,3.879677857297945e-14,65,3
172,5.98592578172438e-14,65,5
173,5.676621370693759e-14,65,7
174,7.078722019761377e-14,65,0
175,4.599346723827885e-14,65,1
176,5.186480311021028e-14,65,2
177,3.8718193398934276e-14,65,3
178,3.1514182973995024e-14,65,5
179,3.794179080814636e-14,65,7
180,5.294527548895529e-14,70,0
181,3.511149240643192e-14,70,1
182,5.078758368382813e-14,70,2
183,4.561605510568508e-14,70,3
184,3.418403381141809e-14,70,5
185,7.654490921969274e-14,70,7
186,5.1742586037034884e-14,70,0
187,3.1862963272124334e-14,70,1
188,2.8300193696682742e-14,70,2
189,3.766040951739109e-14,70,3
190,2.4754323105225967e-14,70,5
191,3.144241960523404e-14,70,7
192,3.584792004182089e-14,70,0
193,4.5495525832165784e-14,70,1
194,2.6105947289116407e-14,70,2
195,6.242131558783106e-14,70,3
196,6.393163843297032e-14,70,5
197,4.888308035697025e-14,70,7
198,3.989101288659887e-14,70,0
199,2.5764415864719533e-14,70,1
200,4.273970758547446e-14,70,2
201,2.2739287596026077e-14,70,3
202,4.911724859497471e-14,70,5
203,2.1542833874122794e-14,70,7
204,4.730430690677578e-14,70,0
205,2.8018741344995606e-14,70,1
206,4.688806456265183e-14,70,2
207,2.9061813651635484e-14,70,3
208,2.816975424644164e-14,70,5
209,2.6228878213334948e-14,70,7
210,2.5134551956273604e-14,75,0
211,3.452342992528659e-14,75,1
212,7.511416660588034e-14,75,2
213,4.7415095521880936e-14,75,3
214,6.023868840535165e-14,75,5
215,8.13463115502314e-14,75,7
216,2.6065839789333213e-14,75,0
217,4.2089876818454464e-14,75,1
218,1.891731835472627e-14,75,2
219,2.2364376041262105e-14,75,3
220,5.510819437978766e-14,75,5
221,4.8372751002499335e-14,75,7
222,5.70046781436001e-14,75,0
223,5.37537264487914e-14,75,1
224,2.5540975595975814e-14,75,2
225,3.9960669807969067e-14,75,3
226,2.155526331328486e-14,75,5
227,2.487159393566861e-14,75,7
228,4.3183707253371445e-14,75,0
229,3.58354322603099e-14,75,1
230,4.888493983917576e-14,75,2
231,2.7098838141303003e-14,75,3
232,3.5860590660673286e-14,75,5
233,2.815605382068138e-14,75,7
234,3.110833646317446e-14,75,0
235,2.6024711123837373e-14,75,1
236,5.4263427189740134e-14,75,2
237,2.5737438152506443e-14,75,3
238,3.4219003063500653e-14,75,5
239,2.5207819627132592e-14,75,7
240,2.998679421842257e-14,80,0
241,4.539435240335886e-14,80,1
242,6.231535899943773e-14,80,2
243,4.3720141814873987e-14,80,3
244,8.328337021524745e-14,80,5
245,4.550839345233316e-14,80,7
246,2.58371462501402e-14,80,0
247,5.5641232596626846e-14,80,1
248,1.7008374204799932e-14,80,2
249,5.1791740350143374e-14,80,3
250,3.843352367727158e-14,80,5
251,4.4977071693308776e-14,80,7
252,2.650682934830114e-14,80,0
253,4.321490549546791e-14,80,1
254,4.6842556435555355e-14,80,2
255,4.935920656568401e-14,80,3
256,5.802083544120527e-14,80,5
257,2.4712154158595357e-14,80,7
258,3.252050713781622e-14,80,0
259,3.263253014862328e-14,80,1
260,7.048799657292778e-14,80,2
261,2.3736912341492413e-14,80,3
262,1.7503930468329264e-14,80,5
263,5.995570944379026e-14,80,7
264,2.0105189361979205e-14,80,0
265,4.2708448745580535e-14,80,1
266,2.399696759809018e-14,80,2
267,6.349469175251278e-14,80,3
268,4.705379617935516e-14,80,5
269,2.3720089751762918e-14,80,7
